category_name,category_viewers,category_tag_1,category_tag_2,tags_name,Viewers
Just Dance 2020,731,Rhythm & Music Game,,,731
Dofus,728,MMORPG,,,728
The Legend of Zelda: A Link to the Past,721,Action,Adventure Game,,721
Garry's Mod,720,FPS,Shooter,,720
Persona 5: The Royal,714,RPG,,,714
Fútbol,706,Sports Game,,,706
Halo 5: Guardians,705,FPS,Shooter,,705
Twitch Sings,689,Rhythm & Music Game,,,689
Clash of Clans,686,RTS,Mobile Game,,686
Half-Life,681,FPS,Shooter,,681
Dead Rising,678,Action,Horror,,678
Warzone,668,Action,Shooter,,668
Krunker,662,FPS,Shooter,,662
BATMAN - The Telltale Series,660,Adventure Game,,,660
Grand Chase,660,Action,RPG,,660
SCUM,657,Simulation,Open World,,657
Super Smash Bros. Melee,655,Fighting,Action,,655
Beyond: Two Souls,655,Adventure Game,Action,,655
War Thunder,651,Action,MMORPG,,651
Mega Man X,638,Shooter,Platformer,,638
For Honor,630,Action,Fighting,,630
M.U.G.E.N,621,Fighting,Horror,,621
Subnautica,621,Adventure Game,,,621
Arma 3,604,Simulation,FPS,,604
Knight Online,600,MMORPG,,,600
Geometry Dash,600,Rhythm & Music Game,,,600
Borderlands 3,599,RPG,FPS,,599
Crusader Kings II,597,Strategy,Simulation,,597
Planet Zoo,579,Strategy,Simulation,,579
Watch Parties,577,,,,577
For the King,577,Strategy,RPG,,577
Beat Saber,574,Rhythm & Music Game,,,574
Heroes of Might and Magic V: Tribes of the East,569,Strategy,RPG,,569
Batman: Arkham City,567,Action,Open World,,567
Forza Horizon 4,561,Driving/Racing Game,,,561
Farming Simulator 19,557,Simulation,Open World,,557
Pokémon Colosseum,545,RPG,Strategy,,545
The Legend of Zelda: Twilight Princess,545,Action,Open World,,545
EVE Online,541,Simulation,MMORPG,,541
The Binding of Isaac: Afterbirth,532,Roguelike,,,532
Stardew Valley,530,Action,RPG,,530
Europa Universalis IV,527,Strategy,,,527
Ragnarok Online,522,RPG,MMORPG,,522
Yu-Gi-Oh! Duel Links,521,Card & Board Game,,,521
No Man's Sky,518,Simulation,Action,,518
Splatoon 2,518,Shooter,Platformer,,518
Saint Seiya: Awakening,508,RPG,Mobile Game,,508
Dark Souls,503,RPG,Action,,503
Drake Hollow,502,Action,Adventure Game,,502
Call of Duty: Mobile,501,FPS,Shooter,,501
God of War,491,Action,Adventure Game,,491
Kingdom Two Crowns,483,Strategy,Simulation,,483
Phantasy Star Online 2,483,Action,RPG,,483
StarCraft,475,RTS,Strategy,,475
Wreckfest,474,Driving/Racing Game,,,474
Metin 2,465,MMORPG,Action,,465
Team Fortress 2,462,Shooter,Action,,462
Grand Theft Auto: San Andreas,462,Action,Stealth,,462
Foxhole,456,Action,Strategy,,456
Company of Heroes 2,454,RTS,Strategy,,454
Little Nightmares,450,Puzzle,Platformer,,450
Politics,448,IRL,,,448
Dread X Collection 2,445,Adventure Game,Horror,,445
Battlefield V,445,Action,FPS,,445
Assassin's Creed Liberation HD,444,Action,Stealth,,444
Control,441,Action,Shooter,,441
